id,name,parent,ticker,exchange,hq_country,hq_iso,categories,business_model,ai_strategy,website
55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,Booking Holdings,BKNG,NASDAQ,Netherlands,NL,"[""B2C""]",Online hotel and accommodation marketplace; merchant and agency models.,"AI-powered pricing, personalised search, Smart Filter, generative travel assistants.",https://www.booking.com
6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia,Expedia Group,EXPE,NASDAQ,United States,US,"[""B2C"", ""B2B""]",Full-service OTA (consumer) plus Expedia Partner Solutions (B2B distribution).,Romie conversational trip planner; ChatGPT plugin; AI Trip Matching for social Reels.,https://www.expedia.com
cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com,Trip.com Group,TCOM,NASDAQ/HKEX,China,CN,"[""B2C""]",Asia-first full-service OTA; expanding globally through acquisitions.,TripGenie AI assistant; demand-forecasting for flash sales; multilingual AI agent.,https://www.trip.com
11295560-66c5-5384-afe6-c98919491751,Airbnb,Airbnb,ABNB,NASDAQ,United States,US,"[""B2C""]",P2P short-term rental marketplace; host + guest fee model.,"AI-generated listings, smart pricing for hosts, experience recommendations, AI Customer Service Agent.",https://www.airbnb.com
2452466d-d20d-5598-9e01-323d8bf1170d,Agoda,Booking Holdings,BKNG-sub,NASDAQ,Singapore,SG,"[""B2C""]",Asia-Pacific hotel specialist; subsidiary of Booking Holdings.,ML-driven competitive rate parity; personalised deal engine; Agoda AI travel assistant.,https://www.agoda.com
6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,MakeMyTrip Group,MMYT,NASDAQ,India,IN,"[""B2C"", ""B2B""]",Indian full-service OTA dominating domestic flights and hotels; owns Goibibo and redBus.,Myra AI chatbot for support; predictive fare alerts; myBiz corporate AI insights.,https://www.makemytrip.com
0eaebe7b-0a67-5359-bdea-5749bb5d9d0d,ShareTrip,ShareTrip,private,,Bangladesh,BD,"[""B2C""]",Bangladesh-first OTA; flights and hotels for the South Asian market.,Visa AI assistant and predictive pricing for the Dhaka market.,https://www.sharetrip.net
ebf7afd6-c830-5c7d-8029-6ed8d1c5f604,Kayak,Booking Holdings,BKNG-sub,NASDAQ,United States,US,"[""B2C"", ""Meta""]",Travel meta-search and price-comparison; subsidiary of Booking Holdings.,"PriceCheck AI, ChatGPT integration, AI-powered itinerary scanner.",https://www.kayak.com
431daa8c-aab9-5a18-a7e3-abf2f5bc1a08,Traveloka,Traveloka,private,,Indonesia,ID,"[""B2C"", ""B2B""]",Southeast-Asian travel super-app with Traveloka for Business arm.,"Personalised recommendations, dynamic-bundle pricing, AI customer service across SEA markets.",https://www.traveloka.com
7d12f1d2-a460-5054-a5b4-2c7523f5a68e,Kiwi.com,Kiwi.com,private,,Czech Republic,CZ,"[""B2C""]",Virtual interlining — combining tickets across carriers into one booking.,Graph-based route optimisation; AI disruption management; ML pricing.,https://www.kiwi.com
c01c0c90-a2b0-54ee-883d-e6974b08d296,Etraveli,Etraveli Group,private,,Sweden,SE,"[""B2C"", ""B2B""]","Flight-first OTA (Mytrip, GoToGate) with white-label B2B distribution.",Dynamic ancillary upsell using ML models; AI fraud detection.,https://www.etraveli.com
c0515206-17ea-5d08-9e0c-475f0cb58942,eDreams ODIGEO,eDreams ODIGEO,EDR,BME,Spain,ES,"[""B2C""]",Subscription-based OTA (Prime programme); flights & hotels.,AI subscription churn prevention; personalised offer engine; generative AI itinerary builder.,https://www.edreams.com
b9dbbd2a-b650-5667-bc3d-2f76892a6367,KKday,KKday,private,,Taiwan,TW,"[""B2C"", ""B2B""]",Asian-focused tours and experiences marketplace.,AI-powered local guide recommendations; multilingual GenAI support.,https://www.kkday.com
375b8060-54cf-597c-8a5f-f2958eda48a8,Goibibo,MakeMyTrip Group,MMYT-sub,NASDAQ,India,IN,"[""B2C""]",Indian consumer OTA; subsidiary of MakeMyTrip Group.,Shared MMT Myra AI stack; AI-powered hotel ranking.,https://www.goibibo.com
4420bc80-12ed-531a-8cda-b7eac6a28387,Klook,Klook,private,,Hong Kong,HK,"[""B2C"", ""B2B""]",Asia-Pacific experiences and tours marketplace; activities + transport.,GenAI itinerary generator; AI translation for inventory; smart recommendations.,https://www.klook.com
2ad2aae5-14d6-5546-8470-7beab6ceabb0,Cleartrip,Flipkart,Flipkart-sub,Walmart-NYSE,India,IN,"[""B2C""]",Indian OTA; owned by Flipkart/Walmart; flights & hotels.,Flipkart-shared ML personalisation stack; chatbot self-service.,https://www.cleartrip.com
f38721ba-a9cf-5f2e-bd0e-1baa54017861,EaseMyTrip,Easy Trip Planners,EASEMYTRIP,NSE/BSE,India,IN,"[""B2C"", ""B2B""]","Indian no-convenience-fee OTA; flights, hotels, holidays.",Voice-AI booking; predictive fare alerts; GenAI corporate trip planner.,https://www.easemytrip.com
c37adc7d-7da9-5849-b1ac-16f3a469e780,Yatra.com,Yatra Online,YTRA,NSE/BSE,India,IN,"[""B2C"", ""B2B""]",Indian OTA with strong corporate-travel (MICE) business after Globe Travels acquisition.,MICE-focused AI trip planning; predictive analytics for corporate travel managers.,https://www.yatra.com
7787ea38-d159-5dd9-87c2-0e4f79836427,yanolja,Yanolja,private,,South Korea,KR,"[""B2C"", ""B2B""]",Korean travel super-app + Yanolja Cloud B2B hospitality SaaS.,"Yanolja Cloud GenAI: AI concierge, dynamic pricing, demand forecasting for hotel partners.",https://www.yanolja.com
06bc3d2e-d668-5ff4-b1df-021a2b545e10,Yeogi (GoodChoice),GC Company,private,,South Korea,KR,"[""B2C""]","Korean accommodation OTA; rebrand from ""Yeogi Eottae"" / Good Choice.",AI-powered booking funnel and review summarisation.,https://www.goodchoice.kr
276071f8-c093-50ae-91bf-87a2b44b1d8c,Skyscanner,Trip.com Group,TCOM-sub,NASDAQ/HKEX,United Kingdom,GB,"[""B2C"", ""Meta""]","Global flight, hotel, and car-hire meta-search; subsidiary of Trip.com Group.",AI-powered travel insights; Savings Generator; conversational trip planning.,https://www.skyscanner.com
