id,rival_id,rival_name,launch_date,category,feature_name,description,source_url
4387d993-849b-53dd-8d60-1732801fb650,6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia Group,2023-04-04,GenAI assistant,ChatGPT-powered trip planner in Expedia app,"Conversational ChatGPT-powered trip planning experience in the iOS app to research destinations, stays and activities, plus an Expedia plugin for ChatGPT.",https://www.expedia.com/newsroom/expedia-launched-chatgpt/
421c9cb9-a434-5146-8b8e-a01b39c02c9b,6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia Group,2024-05-14,GenAI assistant,Romie AI travel assistant,"AI-powered travel companion that plans, books, joins SMS group chats, learns preferences and re-routes when disruptions happen; launched at EXPLORE Spring Release.",https://www.expedia.com/newsroom/spring-product-release-2024/
fdbe435f-2490-5861-8557-7f6d6f892797,6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia Group,2024-05-14,Trip planning,AI-powered Trip Matching for Reels,Expedia's AI scans Instagram/TikTok travel Reels saved by users and matches them to bookable hotels and activities on the platform.,https://www.expedia.com/newsroom/spring-product-release-2024/
347dd443-52c4-5e58-bad4-733b2867ee63,6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia Group,2023-03-23,GenAI assistant,Expedia ChatGPT plugin,Expedia launched one of the first ChatGPT plugins so travelers could plan trips and view Expedia inventory directly inside OpenAI's ChatGPT.,https://openai.com/index/chatgpt-plugins/
d5e16c59-22d5-58c3-b300-3a4b30e8403d,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2023-06-28,GenAI assistant,AI Trip Planner (beta),"Conversational AI trip planner in the US app built on Booking ML models plus OpenAI's GPT API, providing destination, hotel and itinerary suggestions.",https://news.booking.com/bookingcom-launches-new-ai-trip-planner-to-enhance-travel-planning-experience/
571a74cb-eca6-5bac-a49e-04faf0492aa1,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2024-10-30,Personalization,"Smart Filter, Property Q&A, Review Summaries","GenAI features let travelers describe ideal stays in natural language, ask property-specific questions, and read AI-distilled review summaries.",https://news.booking.com/bookingcom-enhances-travel-planning-with-new-ai-powered-features--for-easier-smarter-decisions/
7f623410-48c2-5ec8-aeb5-551c4db1eac6,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2025-10-01,Customer service AI,Smart Messenger and Auto-Reply (agentic AI),"First customer-facing agentic AI tools for partner-to-guest communication, automating replies and streamlining cancellations and complaints.",https://news.booking.com/bookingcom-debuts-agentic-ai-innovations-adding-to-its-robust-suite-of-genai-tools-for-customers/
0ee1d659-57b9-5264-b0a2-6f6dd8b70f22,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking Holdings,2024-04-01,GenAI assistant,Priceline Penny AI travel agent,"Priceline's OpenAI-powered Penny chatbot helps users search and book, later upgraded with voice capabilities in October 2024.",https://www.pymnts.com/artificial-intelligence-2/2024/pricelines-new-ai-voice-tech-allows-conversational-real-time-bookings/
eb4d9501-2a47-5c1f-a434-261aafe9976d,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking Holdings,2024-10-11,Customer service AI,Penny Voice conversational AI,Priceline upgraded Penny with real-time voice conversation capabilities so customers can speak naturally with the AI travel agent.,https://www.bloomberg.com/news/videos/2024-10-11/priceline-ceo-on-ai-agent-penny-s-new-voice-feature-video
5d761632-9eb2-59f5-b3d4-cde4b156acdf,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2023-02-01,GenAI assistant,TripGen AI assistant (initial),Initial AI trip planning assistant launched in Trip.com app providing conversational recommendations.,https://skift.com/2023/03/03/why-trip-com-thought-it-needed-a-generative-ai-chatbot/
